0 | organ | tissue | bone | connective tissue 
895 | Protein denaturation by heat | Protein denaturation | cuboidal epithelium | epithelium 
896 | salivary gland | gland | cartilage | connective tissue 
897 | Evaporative cooling of water | Evaporative cooling | mouse | mammal 
898 | central nervous-system | organ system | stratified squamous epithelium | epithelium 
898 | central nervous-system | organ system | stratified squamous epithelium | tissue 
899 | Metabolism | Biological process | nervous tissue | tissue 
900 | mouse | mammal | stomach | digestive organ 
901 | small intestine | digestive organ | Evaporative cooling of water | Evaporative cooling 
902 | erythrocyte | blood cell | cartilage | connective tissue 
903 | invertebrate | animal | stratified squamous epithelium | epithelium 
904 | mammalian digestive system | digestive system | cartilage | connective tissue 
905 | muscle | tissue | brown fat | adipose tissue 
905 | muscle | tissue | brown fat | connective tissue 
906 | mammalian digestive system | digestive system | nervous tissue | tissue 
907 | salivary gland | gland | small intestine | digestive organ 
908 | mouse | mammal | mouse | mammal 
909 | epithelium | tissue | Evaporative cooling of water | Evaporative cooling 
910 | blood | connective tissue | Protein denaturation by heat | Protein denaturation 
911 | Evaporative cooling of water | Evaporative cooling | cuboidal epithelium | epithelium 
912 | mammalian digestive system | digestive system | stomach | digestive organ 
913 | blood | connective tissue | Protein denaturation by heat | Protein denaturation 
914 | small intestine | digestive organ | Protein denaturation by heat | Protein denaturation 
915 | Shivering | Biological process | mammalian digestive system | digestive system 
916 | connective tissue | tissue | Disease process | Biological process 
917 | brown fat | adipose tissue | mammalian digestive system | digestive system 
918 | cuboidal epithelium | tissue | stratified squamous epithelium | epithelium 
918 | cuboidal epithelium | tissue | stratified squamous epithelium | tissue 
919 | cuboidal epithelium | epithelium | stratified squamous epithelium | epithelium 
920 | aquatic organism | organism | Evaporative cooling of water | Evaporative cooling 
921 | brown fat | adipose tissue | salivary gland | gland 
922 | Protein denaturation by heat | Protein denaturation | bone | connective tissue 
923 | tendon | connective tissue | stratified squamous epithelium | epithelium 
923 | tendon | connective tissue | stratified squamous epithelium | tissue 
924 | Protein denaturation by heat | Protein denaturation | Protein denaturation by heat | Protein denaturation 
925 | adipose tissue | connective tissue | Disease process | Biological process 
926 | smooth muscle | tissue | stratified squamous epithelium | epithelium 
926 | smooth muscle | tissue | stratified squamous epithelium | tissue 
927 | Shivering | Biological process | Metabolism | Biological process 
928 | mouse | mammal | adipose tissue | connective tissue 
929 | epithelium | tissue | mouse | mammal 
930 | connective tissue | tissue | connective tissue | tissue 
931 | blood | connective tissue | epithelium | tissue 
932 | invertebrate | animal | Disease process | Biological process 
933 | stratified squamous epithelium | epithelium | connective tissue | tissue 
934 | invertebrate | animal | Protein denaturation by heat | Protein denaturation 
935 | brown fat | adipose tissue | connective tissue | tissue 
936 | cuboidal epithelium | epithelium | mouse | mammal 
937 | connective tissue | tissue | connective tissue | tissue 
938 | Metabolism | Biological process | stratified squamous epithelium | epithelium 
939 | invertebrate | animal | Evaporative cooling of water | Evaporative cooling 
940 | tongue | organ | cuboidal epithelium | epithelium 
940 | tongue | organ | cuboidal epithelium | tissue 
941 | Thermoregulation | Regulation | mouse | mammal 
942 | nervous tissue | tissue | mouse | mammal 
943 | central nervous-system | organ system | adipose tissue | connective tissue 
943 | central nervous-system | organ system | adipose tissue | tissue 
944 | epithelium | tissue | stratified squamous epithelium | epithelium 
945 | epithelium | tissue | cartilage | connective tissue 
946 | mouse | mammal | salivary gland | gland 
947 | Evaporative cooling of water | Evaporative cooling | mammalian digestive system | digestive system 
948 | cuboidal epithelium | epithelium | invertebrate | animal 
949 | bone | tissue | cuboidal epithelium | epithelium 
949 | bone | tissue | cuboidal epithelium | tissue 
950 | bone | connective tissue | cuboidal epithelium | epithelium 
951 | nervous tissue | tissue | cuboidal epithelium | epithelium 
952 | connective tissue | tissue | epithelium | tissue 
953 | adipose tissue | tissue | cartilage | connective tissue 
953 | adipose tissue | tissue | cartilage | tissue 
954 | adipose tissue | connective tissue | cartilage | connective tissue 
955 | Disease process | Biological process | Evaporative cooling of water | Evaporative cooling 
956 | stomach | digestive organ | connective tissue | tissue 
957 | adipose tissue | connective tissue | nervous tissue | tissue 
958 | cuboidal epithelium | tissue | cuboidal epithelium | epithelium 
958 | cuboidal epithelium | tissue | cuboidal epithelium | tissue 
959 | cuboidal epithelium | epithelium | cuboidal epithelium | epithelium 
960 | anterior pituitary | organ | brown fat | adipose tissue 
960 | anterior pituitary | organ | brown fat | connective tissue 
960 | anterior pituitary | organ | brown fat | tissue 
961 | animal | organism | adipose tissue | connective tissue 
961 | animal | organism | adipose tissue | tissue 
962 | Evaporative cooling of water | Evaporative cooling | cartilage | connective tissue 
963 | muscle | tissue | bone | connective tissue 
963 | muscle | tissue | bone | tissue 
964 | Metabolism | Biological process | connective tissue | tissue 
965 | smooth muscle | tissue | cuboidal epithelium | epithelium 
965 | smooth muscle | tissue | cuboidal epithelium | tissue 
966 | stomach | digestive organ | small intestine | digestive organ 
967 | connective tissue | tissue | small intestine | digestive organ 
968 | Hibernation | Biological process | brown fat | adipose tissue 
968 | Hibernation | Biological process | brown fat | connective tissue 
968 | Hibernation | Biological process | brown fat | tissue 
969 | blood | connective tissue | Evaporative cooling of water | Evaporative cooling 
970 | invertebrate | animal | Evaporative cooling of water | Evaporative cooling 
971 | bone | connective tissue | Evaporative cooling of water | Evaporative cooling 
972 | Muscle contraction | Mechanical work | adipose tissue | connective tissue 
973 | invertebrate | animal | Evaporative cooling of water | Evaporative cooling 
974 | mammalian digestive system | digestive system | adipose tissue | connective tissue 
975 | salivary gland | gland | cuboidal epithelium | epithelium 
976 | bone | connective tissue | small intestine | digestive organ 
977 | brown fat | adipose tissue | salivary gland | gland 
978 | nervous tissue | tissue | mouse | mammal 
979 | Thermoregulation | Regulation | cuboidal epithelium | epithelium 
980 | Protein denaturation by heat | Protein denaturation | aquatic organism | organism 
981 | epithelium | tissue | mouse | mammal 
982 | Muscle contraction | Mechanical work | aquatic organism | organism 
983 | cuboidal epithelium | epithelium | mouse | mammal 
984 | aquatic organism | organism | mouse | mammal 
985 | bone | connective tissue | invertebrate | animal 
986 | Protein denaturation by heat | Protein denaturation | mouse | mammal 
987 | stomach | digestive organ | invertebrate | animal 
988 | stratified squamous epithelium | tissue | brown fat | adipose tissue 
988 | stratified squamous epithelium | tissue | brown fat | connective tissue 
989 | stratified squamous epithelium | epithelium | brown fat | adipose tissue 
990 | Muscle contraction | Mechanical work | bone | connective tissue 
991 | stratified squamous epithelium | epithelium | Protein denaturation by heat | Protein denaturation 
992 | Protein denaturation by heat | Protein denaturation | connective tissue | tissue 
993 | mammalian digestive system | digestive system | nervous tissue | tissue 
994 | digestive system | organ system | bone | connective tissue 
994 | digestive system | organ system | bone | tissue 
995 | Disease process | Biological process | bone | connective tissue 
996 | heart | organ | brown fat | adipose tissue 
996 | heart | organ | brown fat | connective tissue 
996 | heart | organ | brown fat | tissue 
997 | mammalian digestive system | digestive system | mammalian digestive system | digestive system 
998 | Thermoregulation | Regulation | invertebrate | animal 
999 | Shivering | Biological process | small intestine | digestive organ 
